epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.31868,1.58504,3.754,1.71336,0.00393,0.6,0.00937,0.00234,1.42232,3.95033,1.72287,0.00041675,0.00041675,0.00041675
2,17.1836,1.61216,3.30193,1.63623,0.00617,0.92,0.48372,0.29001,1.55037,3.6727,1.47985,0.000948349,0.000948349,0.000948349
3,26.0247,1.8349,3.14754,1.58248,0.00617,0.92,0.48372,0.29001,1.55037,3.6727,1.47985,0.00145244,0.00145244,0.00145244
4,36.5342,2.09515,2.93042,1.76885,0.00472,0.72,0.17642,0.07642,1.68407,3.75446,1.74039,0.00154323,0.00154323,0.00154323
5,45.7632,1.99508,2.60066,1.63316,0.00472,0.72,0.17642,0.07642,1.68407,3.75446,1.74039,0.00150197,0.00150197,0.00150197
6,57.6156,1.93334,2.64215,1.64651,0.003,0.46,0.04891,0.01151,2.07663,3.92452,2.20512,0.00146071,0.00146071,0.00146071
